Stock,Name,YEAR,OWN,FORN,BIG4,SIZE,LEV,CUR,GRW,ROA,ROE,CFO,PPE,AGE,INVREC,MB,TQ,LOSS
20,동화약품,2011,0.3286,0.0256,1,26.53244216,0.3485602,1.793308616,0.089569916,0.053035901,0.081413357,0.138727472,0.392631983,4.744932128,0.284905577,0.49629159,0.659243517,0
20,동화약품,2012,0.3157,0.0798,1,26.55053793,0.323504479,1.506044455,-0.047705885,0.003863051,0.005710386,0.074320626,0.362543639,4.753590191,0.255721625,0.743216036,0.820254868,0
20,동화약품(주),2013,0.3114,0.0613,1,26.50488758,0.300014186,1.467747309,-0.014018866,0.003120283,0.004457638,0.025302183,0.350280861,4.762173935,0.262647684,0.539623045,0.669122782,0
20,동화약품(주),2014,0.3151,0.0502,1,26.47953178,0.281290658,1.591328628,-0.030731985,0.015615886,0.021727679,0.042745544,0.327403707,4.770684624,0.267462702,0.67723477,0.763162357,0
20,동화약품(주),2015,0.3235,0.0749,1,26.46970255,0.266223182,1.749219573,0.045575689,0.017914832,0.024414552,0.06334977,0.298816896,4.779123493,0.267951133,0.988025364,0.991312456,0
20,동화약품(주),2016,0.3229,0.0746,1,26.48275744,0.274504566,1.952516917,0.063931308,0.082772357,0.114090803,0.080338052,0.26422942,4.787491743,0.266103132,0.896721429,0.919527423,0
20,동화약품(주),2017,0.324,0.1186,1,26.50587347,0.220820195,2.731941866,0.090161733,0.144819334,0.185861252,-0.050892619,0.22282346,4.795790546,0.318541527,0.917112873,0.932976005,0
20,동화약품(주),2018,0.3238,0.0829,1,26.62924094,0.191382339,3.8622031,0.184335113,0.027434056,0.033927105,-0.000639139,0.177102214,4.804021045,0.333999027,0.85553326,0.884090536,0
20,동화약품(주),2019,0.3236,0.0604,1,26.63756447,0.197673703,3.723573131,0.001785494,0.025734047,0.032074291,0.038132595,0.162753528,4.812184355,0.306725958,0.769563111,0.815380863,0
20,동화약품(주),2020,0.3366,0.0314,1,26.65409381,0.198829938,4.224199204,-0.129288991,0.075552221,0.094302351,0.135566412,0.151580149,4.820281566,0.243261616,1.657392885,1.537090113,0
20,동화약품(주),2021,0.3366,0.0237,1,26.72796732,0.182999808,3.818199908,0.017851849,0.036351827,0.04449427,0.075331533,0.149296993,4.828313737,0.214610421,1.184569354,1.152641583,0
20,동화약품(주),2022,0.3366,0.0423,1,26.7545948,0.172985226,3.452345277,0.160590103,0.043741628,0.052890987,0.065441561,0.141800294,4.836281907,0.237457829,0.718877002,0.764708985,0
20,동화약품,2023,0.3366,0.0486,0,26.78675808,0.163031779,3.023086217,0.060795894,0.060869809,0.072726548,0.065777526,0.150575652,4.844187086,0.249923474,0.763666664,0.812660282,0
40,KR모터스,2011,0.3153,0.0015,0,25.73741511,0.518025374,1.388172696,-0.140206391,0.011128911,0.023090243,-0.054909742,0.100243932,4.553876892,0.432918358,1.066292083,1.035339595,0
40,KR모터스,2012,0.321,0.0,0,25.66216489,0.466910774,1.571262651,-0.219850789,-0.043717139,-0.082007171,-0.025708961,0.094382736,4.564348191,0.425554796,0.86565071,0.927901156,0
40,KR모터스(주),2013,0.3209,0.0011,0,25.56671303,0.463347789,1.582772421,0.004438806,-0.087188841,-0.162468055,0.006984126,0.109053863,4.574710979,0.406424309,0.912009683,0.956871085,1
40,KR모터스(주),2014,0.3209,0.1616,0,25.48485538,0.50984476,1.299113092,-0.182837333,-0.109645228,-0.223694902,-0.277522323,0.135415523,4.584967479,0.514249299,2.704784838,1.56957205,1
40,KR모터스(주),2015,0.4582,0.1126,0,25.64094191,0.665897985,0.985366412,0.016159481,-0.118115341,-0.353530764,-0.142422461,0.092489191,4.59511985,0.46926341,3.271360658,1.979733488,1
40,KR모터스(주),2016,0.456,0.1161,0,25.78447357,0.568657895,1.118206394,0.039955295,-0.070074229,-0.162456268,-0.09239035,0.067197234,4.605170186,0.100650757,2.640855412,1.659042589,1
40,KR모터스(주),2017,0.391,0.1142,0,25.68822656,0.598354258,0.257022294,-0.701499756,-0.151581969,-0.377402158,-0.072990138,0.048034115,4.615120517,0.047079187,1.180779581,1.073456694,1
40,KR모터스(주),2018,0.4632,0.238,0,25.57159663,0.593667082,0.19495278,0.275463634,-0.128383872,-0.315957351,-0.032741065,0.047098253,4.624972813,0.069476332,0.925894136,0.967191769,1
40,KR모터스(주),2019,0.4632,0.1645,0,25.78160282,0.557278881,0.537287176,0.353907533,-0.182045942,-0.411197782,-0.067687172,0.025132026,4.634728988,0.030974414,1.137653646,1.044310057,1
40,KR모터스(주),2020,0.5138,0.4606,0,25.69537731,0.678104732,0.19495278,-0.458917365,-0.080618865,-0.250450607,-0.041072271,0.024873451,4.644390899,0.049856872,2.968485917,1.755891408,1
40,KR모터스(주),2021,0.5286,0.4624,0,25.23706587,0.61600365,0.213595072,-0.16080731,-0.079261213,-0.206411372,-0.03270699,0.038644922,4.65396035,0.080544895,2.219698763,1.493496466,1
40,KR모터스(주),2022,0.5297,0.4534,0,25.25149015,0.595394796,0.19495278,-0.150395578,-0.054552187,-0.134828188,-0.06401037,0.030010045,4.663439094,0.085821287,1.484719634,1.190821669,1
40,KR모터스,2023,0.5283,0.4675,1,25.24624221,0.606325686,0.20275992,0.030318271,-0.167822271,-0.426297235,-0.089429995,0.026111228,4.672828834,0.080006749,0.216458694,0.72206968,1
50,경방,2011,0.5367,0.0108,0,27.90000081,0.480321978,0.696751895,-0.007131804,-0.001392594,-0.002679724,-0.008858627,0.058357208,4.532599493,0.086142829,0.288349122,0.638479596,0
50,경방,2012,0.5654,0.0192,0,27.91765086,0.49199753,0.341864001,-0.037489931,-0.005311226,-0.010455119,0.02052784,0.053257633,4.543294782,0.066065649,0.278271074,0.628670162,1
50,(주)경방,2013,0.5663,0.0099,0,27.89470751,0.485499576,0.838233173,-0.002362887,0.011602984,0.022551942,0.038714776,0.047100546,4.553876892,0.053908461,0.396255391,0.671828534,1
50,(주)경방,2014,0.5582,0.0136,0,27.86313029,0.456439924,0.897335763,-0.029468131,0.011287004,0.020764962,0.023441959,0.047840295,4.564348191,0.058468353,0.765777419,0.880304707,0
50,(주)경방,2015,0.5611,0.0285,0,27.87397389,0.488967749,0.215269012,0.197545123,0.016944769,0.033157925,0.034569469,0.041730703,4.574710979,0.059376348,0.785601125,0.885648665,0
50,(주)경방,2016,0.5673,0.0332,0,27.86174573,0.466642095,0.582007175,0.019926733,0.024595029,0.046113555,0.048993449,0.034699441,4.584967479,0.058606089,0.607687561,0.781094119,0
50,(주)경방,2017,0.5766,0.0216,0,27.84372992,0.44201137,0.667588928,-0.08211131,0.020758992,0.037203252,0.041448306,0.028456757,4.59511985,0.047476732,0.535993044,0.724874767,0
50,(주)경방,2018,0.5862,0.0218,0,27.81256209,0.407066576,0.286652955,-0.031303864,0.024350877,0.041068485,0.024554995,0.01837851,4.605170186,0.066222567,0.406048709,0.646893789,0
50,(주)경방,2019,0.5861,0.0187,0,27.8352227,0.405496348,0.856844818,-0.091487594,0.018119136,0.030477754,0.05321496,0.023755417,4.615120517,0.041092453,0.343462614,0.624831338,0
50,(주)경방,2020,0.5937,0.0296,0,27.8905085,0.428564663,1.486780867,-0.108421368,0.020066356,0.035115706,0.03590941,0.031392869,4.624972813,0.024217076,0.44761399,0.653973378,0
50,(주)경방,2021,0.5975,0.0203,0,27.8236179,0.37357823,0.302169471,0.20196478,0.01922308,0.03068712,-0.005037506,0.025425585,4.634728988,0.041893813,0.491655794,0.678999691,0
50,(주)경방,2022,0.6061,0.0113,0,27.82509794,0.368537489,0.40881452,-0.007132188,-0.002116464,-0.003351687,0.046735865,0.021630642,4.644390899,0.031564886,0.39000291,0.593849573,0
50,경방,2023,0.6108,0.0101,1,27.76224379,0.334176451,0.579501298,0.00455983,-0.003454237,-0.005187917,0.038573186,0.090244285,4.65396035,0.042930283,0.322236328,0.546615811,1
70,삼양홀딩스,2011,0.3721,0.0899,1,28.11037123,0.36888353,1.152902824,0.267967665,0.063956397,0.101338501,0.074344733,0.005523755,4.477336814,0.014195298,0.603126831,0.679497406,0
70,삼양홀딩스,2012,0.4825,0.0965,1,27.53929455,0.192430683,1.174837768,-0.28790608,0.050280505,0.062261534,0.003656213,0.006245449,4.48863637,0.029172022,0.626951849,0.693357388,0
70,(주)삼양홀딩스,2013,0.4584,0.1019,1,27.69072489,0.178007956,3.406921834,-0.220977783,-0.028954234,-0.03522447,-0.006140316,0.004535116,4.49980967,0.016754228,0.637496712,0.69115344,0
70,(주)삼양홀딩스,2014,0.4412,0.09,1,27.74632729,0.148017217,1.948484131,-0.216957281,0.042238005,0.049576125,0.039785474,0.004449559,4.510859507,0.030285052,0.744971737,0.799205406,1
70,(주)삼양홀딩스,2015,0.4327,0.0588,1,27.90083653,0.212657485,3.157724431,-0.205508984,0.009968349,0.012660752,0.014247702,0.003349613,4.521788577,0.024735249,1.316805597,1.259278289,0
70,(주)삼양홀딩스,2016,0.433,0.0664,1,27.86494662,0.181585516,6.891394465,-0.397385137,0.045987576,0.056191058,0.012283593,0.00411327,4.532599493,0.01323617,0.757119554,0.790152855,0
70,(주)삼양홀딩스,2017,0.433,0.0677,1,28.07860528,0.136006424,2.625279932,-0.103633591,0.026354886,0.030503567,0.01059586,0.003116378,4.543294782,0.007045771,0.761894838,0.793080778,0
70,(주)삼양홀딩스,2018,0.4189,0.0893,1,28.08721659,0.13097549,21.19470677,-0.093170891,0.030670026,0.035292475,0.056941856,0.00278324,4.553876892,0.008030221,0.484632304,0.550557745,0
70,(주)삼양홀딩스,2019,0.4171,0.0836,1,28.09520153,0.127919235,2.886811891,-0.300243152,0.012941985,0.014840351,0.014282987,0.002869915,4.564348191,0.008226292,0.413832291,0.494537074,0
70,(주)삼양홀딩스,2020,0.4173,0.0769,1,28.1059832,0.137682069,23.58094493,0.963886015,0.046117797,0.053481199,0.024164351,0.002255505,4.574710979,0.007435492,0.4363283,0.517800466,0
70,(주)삼양홀딩스,2021,0.4154,0.0782,1,28.1671383,0.14453833,10.18401381,2.085187832,0.141000253,0.164823578,0.012400225,0.04277775,4.584967479,0.030401038,0.484019504,0.571064755,0
70,(주)삼양홀딩스,2022,0.4157,0.0711,1,28.36826414,0.168698722,2.883951637,-0.400905028,0.0378667,0.045551115,0.078145557,0.033617283,4.59511985,0.028948353,0.328622701,0.420518585,0
70,삼양홀딩스,2023,0.4193,0.0807,1,28.36065672,0.136876663,4.32899852,0.023376067,0.097829416,0.113343495,0.03213118,0.038374143,4.605170186,0.034264518,0.293579916,0.417249561,0
